id_mensaje,mensaje_cliente,clasificacion_real
AF-0018,@AeroFenox Mi vuelo AF-512-A de las 11:30 fue cancelado.. Reubicadme en el próximo vuelo disponible.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0019,@AeroFenox Esto arruinó mi viaje de negocios a París.. Díganme cómo procesar la devolución.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0020,@AeroFenox Mi vuelo AF-871-A de las 17:05 fue cancelado.. Su atención en el aeropuerto es pésima.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0021,@AeroFenox ¿Hay algún comunicado oficial?. Esto arruinó mi viaje de negocios a Lisboa.. Mi vuelo AF-499-A de las 15:15 fue cancelado.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0022,@AeroFenox Llevo 3 horas sin saber nada y con una conexión urgente que he perdido.. Su atención en el aeropuerto es pésima.. Estoy aquí desde la 588:09 y nadie me da una solución.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0023,Esto arruinó mi viaje de negocios a Roma.. Quiero el reembolso completo de mi vuelo.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0024,@AeroFenox Estoy en el aeropuerto desde las 785:01 con mi familia.. Ponganme en cualquier vuelo que salga hoy.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0025,Estoy en el aeropuerto desde las 618:20 con mi familia.. Reubicadme en el próximo vuelo disponible.. Esto arruinó mi viaje de negocios a Roma.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0026,Estoy aquí desde la 926:02 y nadie me da una solución.. Ponganme en cualquier vuelo que salga hoy.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0027,Estoy en el aeropuerto desde las 834:21 con mi familia.. ¿Cuál es mi nuevo horario?. Llevo 6 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0028,@AeroFenox Reubicadme en el próximo vuelo disponible.. Esto arruinó mi viaje de negocios a Berlín.. Llevo 4 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0029,@AeroFenox Llevo 10 horas sin saber nada y con una conexión urgente que he perdido.. Estoy en el aeropuerto desde las 658:14 con mi familia.. Su atención en el aeropuerto es pésima.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0030,¿A qué hora se reanudan los vuelos?. Mi vuelo AF-462-A de las 09:25 fue cancelado.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0031,¿Hay algún comunicado oficial?. Mi vuelo AF-283-A de las 23:10 fue cancelado.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0032,@AeroFenox Necesito un billete alternativo para mi destino.. Estoy en el aeropuerto desde las 936:13 con mi familia.. Mi vuelo AF-979-A de las 13:50 fue cancelado.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0033,"@AeroFenox Llevo 5 horas esperando, es inaceptable.. Llevo 2 horas sin saber nada y con una conexión urgente que he perdido.","{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0034,@AeroFenox ¿Podrían confirmar el motivo de las cancelaciones?. Estoy en el aeropuerto desde las 694:16 con mi familia.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0035,@AEROFENOX ESTOY AQUÍ DESDE LA 623:19 Y NADIE ME DA UNA SOLUCIÓN.. PRESENTARÉ UNA RECLAMACIÓN FORMAL EN LA OFICINA DEL CONSUMIDOR.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0036,Estoy aquí desde la 421:00 y nadie me da una solución.. Ponganme en cualquier vuelo que salga hoy.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0037,@AeroFenox Llevo 11 horas sin saber nada y con una conexión urgente que he perdido.. El personal no sabe qué hacer.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0038,@AeroFenox El personal no sabe qué hacer.. Llevo 5 horas sin saber nada y con una conexión urgente que he perdido.. Estoy aquí desde la 953:12 y nadie me da una solución.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0039,@AeroFenox Nadie contesta al teléfono.. Mi vuelo AF-390-A de las 14:50 fue cancelado.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0040,Quiero el reembolso completo de mi vuelo.. Esto arruinó mi viaje de negocios a Barcelona.. Mi vuelo AF-147-A de las 07:50 fue cancelado.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0041,Mi vuelo AF-868-A de las 18:15 fue cancelado.. ¿Cuál es mi nuevo horario?,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0042,Reubicadme en el próximo vuelo disponible.. Esto arruinó mi viaje de negocios a París.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0043,¿Cuál es mi nuevo horario?. Esto arruinó mi viaje de negocios a Madrid.. Estoy en el aeropuerto desde las 960:14 con mi familia.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0044,@AeroFenox Llevo 10 horas sin saber nada y con una conexión urgente que he perdido.. Estoy aquí desde la 182:20 y nadie me da una solución.. ¿Cuál es mi nuevo horario?,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0045,Necesito un billete alternativo para mi destino.. Esto arruinó mi viaje de negocios a Roma.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0046,@AeroFenox Esto arruinó mi viaje de negocios a Madrid.. Ponganme en cualquier vuelo que salga hoy.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0047,Esto arruinó mi viaje de negocios a París.. ¿Cuál es mi nuevo horario?,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0048,@AeroFenox El personal no sabe qué hacer.. Llevo 5 horas sin saber nada y con una conexión urgente que he perdido.. Estoy en el aeropuerto desde las 151:21 con mi familia.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0049,@AeroFenox Necesito un billete alternativo para mi destino.. Mi vuelo AF-867-A de las 12:20 fue cancelado.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0050,Mi vuelo AF-736-A de las 02:50 fue cancelado.. Contactaré a mi abogado si no resuelven esto.. Estoy en el aeropuerto desde las 584:02 con mi familia.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0051,@AeroFenox Quiero el reembolso completo de mi vuelo.. Llevo 13 horas sin saber nada y con una conexión urgente que he perdido.. Mi vuelo AF-419-A de las 22:20 fue cancelado.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0052,Mi vuelo AF-813-A de las 22:15 fue cancelado.. Nadie contesta al teléfono.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0053,"Mi vuelo AF-618-A de las 18:00 fue cancelado.. Llevo 5 horas esperando, es inaceptable.","{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0054,¿A qué hora se reanudan los vuelos?. Esto arruinó mi viaje de negocios a París.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0055,Ponganme en cualquier vuelo que salga hoy.. Estoy en el aeropuerto desde las 950:17 con mi familia.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0056,Ponganme en cualquier vuelo que salga hoy.. Llevo 7 horas sin saber nada y con una conexión urgente que he perdido.. Estoy en el aeropuerto desde las 599:14 con mi familia.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0057,"@AeroFenox Estoy en el aeropuerto desde las 807:06 con mi familia.. Esto arruinó mi viaje de negocios a Valencia.. Esto va contra mis derechos de pasajero, aténganse a las consecuencias.","{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0058,@AEROFENOX NECESITO UN BILLETE ALTERNATIVO PARA MI DESTINO.. ESTO ARRUINÓ MI VIAJE DE NEGOCIOS A LISBOA.. ESTOY AQUÍ DESDE LA 438:07 Y NADIE ME DA UNA SOLUCIÓN.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0059,DÍGANME CÓMO PROCESAR LA DEVOLUCIÓN.. ESTOY AQUÍ DESDE LA 878:10 Y NADIE ME DA UNA SOLUCIÓN.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 4}"
AF-0060,Mi vuelo AF-666-A de las 09:15 fue cancelado.. Quiero el reembolso completo de mi vuelo.. Llevo 13 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0061,Mi vuelo AF-358-A de las 15:05 fue cancelado.. El personal no sabe qué hacer.. Esto arruinó mi viaje de negocios a Berlín.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0062,@AeroFenox Su atención en el aeropuerto es pésima.. Estoy en el aeropuerto desde las 252:12 con mi familia.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0063,@AeroFenox Nadie contesta al teléfono.. Estoy aquí desde la 489:07 y nadie me da una solución.. Esto arruinó mi viaje de negocios a Lisboa.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0064,@AeroFenox Llevo 5 horas sin saber nada y con una conexión urgente que he perdido.. ¿A qué hora se reanudan los vuelos?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0065,"El vuelo fue cancelado, quiero el reembolso.. Llevo 7 horas sin saber nada y con una conexión urgente que he perdido.","{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 4}"
AF-0066,@AEROFENOX MI VUELO AF-657-A DE LAS 21:15 FUE CANCELADO.. ESTOY EN EL AEROPUERTO DESDE LAS 372:21 CON MI FAMILIA.. PRESENTARÉ UNA RECLAMACIÓN FORMAL EN LA OFICINA DEL CONSUMIDOR.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0067,@AeroFenox Ponganme en cualquier vuelo que salga hoy.. Esto arruinó mi viaje de negocios a Berlín.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0068,Estoy en el aeropuerto desde las 790:13 con mi familia.. Su atención en el aeropuerto es pésima.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0069,Presentaré una reclamación formal en la oficina del consumidor.. Estoy aquí desde la 767:21 y nadie me da una solución.. Llevo 4 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0070,Reubicadme en el próximo vuelo disponible.. Estoy en el aeropuerto desde las 437:02 con mi familia.. Esto arruinó mi viaje de negocios a Lisboa.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0071,@AeroFenox Necesito un billete alternativo para mi destino.. Estoy aquí desde la 944:14 y nadie me da una solución.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0072,@AeroFenox El personal no sabe qué hacer.. Estoy en el aeropuerto desde las 394:06 con mi familia.. Mi vuelo AF-308-A de las 06:40 fue cancelado.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0073,"Estoy en el aeropuerto desde las 961:20 con mi familia.. Mi vuelo AF-665-A de las 20:45 fue cancelado.. Esto va contra mis derechos de pasajero, aténganse a las consecuencias.","{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0074,Estoy aquí desde la 248:04 y nadie me da una solución.. El personal no sabe qué hacer.. Esto arruinó mi viaje de negocios a Madrid.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0075,¿Hay algún comunicado oficial?. Llevo 6 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0076,@AeroFenox ¿A qué hora se reanudan los vuelos?. Esto arruinó mi viaje de negocios a Madrid.. Estoy aquí desde la 881:09 y nadie me da una solución.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0077,@AeroFenox El personal no sabe qué hacer.. Mi vuelo AF-425-A de las 10:15 fue cancelado.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0078,Mi vuelo AF-995-A de las 21:50 fue cancelado.. ¿Cuál es mi nuevo horario?. Estoy aquí desde la 704:21 y nadie me da una solución.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0079,Esto arruinó mi viaje de negocios a Berlín.. Reubicadme en el próximo vuelo disponible.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0080,@AeroFenox Estoy aquí desde la 170:21 y nadie me da una solución.. ¿Cuál es la situación actual?. Llevo 5 horas sin saber nada y con una conexión urgente que he perdido.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0081,@AeroFenox Reubicadme en el próximo vuelo disponible.. Mi vuelo AF-432-A de las 03:50 fue cancelado.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0082,Nadie contesta al teléfono.. Estoy en el aeropuerto desde las 180:07 con mi familia.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0083,"El vuelo fue cancelado, quiero el reembolso.. Llevo 6 horas sin saber nada y con una conexión urgente que he perdido.","{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 4}"
AF-0084,Llevo 16 horas sin saber nada y con una conexión urgente que he perdido.. ¿Hay algún comunicado oficial?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0085,LLEVO 9 HORAS SIN SABER NADA Y CON UNA CONEXIÓN URGENTE QUE HE PERDIDO.. ESTO ARRUINÓ MI VIAJE DE NEGOCIOS A LISBOA.. PONGANME EN CUALQUIER VUELO QUE SALGA HOY.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0086,Mi vuelo AF-416-A de las 09:15 fue cancelado.. Díganme cómo procesar la devolución.. Estoy en el aeropuerto desde las 743:09 con mi familia.,"{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0087,¿Hay algún comunicado oficial?. Estoy aquí desde la 997:23 y nadie me da una solución.. Estoy en el aeropuerto desde las 305:23 con mi familia.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0088,CONTACTARÉ A MI ABOGADO SI NO RESUELVEN ESTO.. ESTO ARRUINÓ MI VIAJE DE NEGOCIOS A ROMA.. ESTOY EN EL AEROPUERTO DESDE LAS 980:08 CON MI FAMILIA.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0089,"El vuelo fue cancelado, quiero el reembolso.. Llevo 14 horas sin saber nada y con una conexión urgente que he perdido.","{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0090,Estoy aquí desde la 674:20 y nadie me da una solución.. Su atención en el aeropuerto es pésima.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 2}"
AF-0091,Mi vuelo AF-138-A de las 20:35 fue cancelado.. Esto arruinó mi viaje de negocios a Barcelona.. Nadie contesta al teléfono.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 1}"
AF-0092,¿Cuál es mi nuevo horario?. Esto arruinó mi viaje de negocios a Roma.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
AF-0093,@AeroFenox Ponganme en cualquier vuelo que salga hoy.. Llevo 2 horas sin saber nada y con una conexión urgente que he perdido.. Mi vuelo AF-802-A de las 22:25 fue cancelado.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 3}"
AF-0094,@AeroFenox Mi vuelo AF-905-A de las 03:35 fue cancelado.. Su atención en el aeropuerto es pésima.. Estoy en el aeropuerto desde las 905:03 con mi familia.,"{""intencion"": ""QUEJA_SERVICIO"", ""prioridad"": 3}"
AF-0095,@AeroFenox Estoy en el aeropuerto desde las 907:17 con mi familia.. ¿Podrían confirmar el motivo de las cancelaciones?,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 1}"
AF-0096,"@AeroFenox Estoy en el aeropuerto desde las 702:04 con mi familia.. Esto va contra mis derechos de pasajero, aténganse a las consecuencias.. Mi vuelo AF-234-A de las 04:10 fue cancelado.","{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0097,"@AeroFenox Esto arruinó mi viaje de negocios a Berlín.. El vuelo fue cancelado, quiero el reembolso.","{""intencion"": ""SOLICITUD_REEMBOLSO"", ""prioridad"": 3}"
AF-0098,@AeroFenox Presentaré una reclamación formal en la oficina del consumidor.. Mi vuelo AF-162-A de las 07:45 fue cancelado.,"{""intencion"": ""AMENAZA_LEGAL"", ""prioridad"": 5}"
AF-0099,@AeroFenox ¿A qué hora se reanudan los vuelos?. Mi vuelo AF-229-A de las 22:35 fue cancelado.. Estoy aquí desde la 661:22 y nadie me da una solución.,"{""intencion"": ""BUSQUEDA_INFORMACION"", ""prioridad"": 2}"
AF-0100,@AEROFENOX MI VUELO AF-973-A DE LAS 19:40 FUE CANCELADO.. REUBICADME EN EL PRÓXIMO VUELO DISPONIBLE.,"{""intencion"": ""PETICION_REUBICACION"", ""prioridad"": 4}"
