id_reseña,texto_reseña,etiqueta_comida_pos,etiqueta_servicio_pos,etiqueta_ambiente_pos,etiqueta_precio_pos,etiqueta_comida_neg,etiqueta_servicio_neg,etiqueta_ambiente_neg,etiqueta_precio_neg
gr_00014,"El local estaba sucio y descuidado. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,0
gr_00015,"La comida estaba deliciosa. Música de fondo perfecta. Nos atendieron muy rápido. Nos pareció muy barato para lo bien que comimos. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00016,Reservamos mesa para cuatro. Tienen un menú del día con un precio fantástico. Tuvimos que pedir la cuenta tres veces. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,0,1,0,0
gr_00017,Reservamos mesa para cuatro. Decoración anticuada y fea. Una experiencia decepcionante.,0,0,0,0,0,0,1,0
gr_00018,"El servicio fue excepcional. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,0,0,0,0,0,0
gr_00019,Era nuestra primera vez en este sitio. La comida estaba fría y sin sabor. Una experiencia decepcionante.,0,0,0,0,1,0,0,0
gr_00020,"Reservamos mesa para cuatro. Salimos muy contentos con la cuenta. En resumen, nuestra experiencia fue muy satisfactoria.",0,0,0,1,0,0,0,0
gr_00021,La relación calidad-precio es inmejorable. El servicio fue excepcional. Fue una velada agradable.,0,1,0,1,0,0,0,0
gr_00022,Los camareros fueron muy atentos y amables. Servicio lento y desorganizado. Tengo sentimientos encontrados sobre este lugar.,0,1,0,0,0,1,0,0
gr_00023,"Reservamos mesa para cuatro. La relación calidad-precio es inmejorable. Un ambiente muy acogedor y tranquilo. Los sabores eran increíbles. Un trato profesional y cercano. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00024,Tengo sentimientos encontrados sobre este lugar. Salimos muy contentos con la cuenta. Fue una velada agradable.,0,0,0,1,0,0,0,0
gr_00025,"Todo estaba en su punto. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,0,0,0,0,0
gr_00026,"Reservamos mesa para cuatro. Los camareros fueron muy atentos y amables. La comida estaba deliciosa. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,0,0,0,0,0,0
gr_00027,"Era nuestra primera vez en este sitio. El mejor plato que he probado en mucho tiempo. No vale lo que cuesta, ni de lejos. Tengo sentimientos encontrados sobre este lugar.",1,0,0,0,0,0,0,1
gr_00028,Tengo sentimientos encontrados sobre este lugar. El local tiene una decoración preciosa. El servicio fue excepcional. Fue una velada agradable.,0,1,1,0,0,0,0,0
gr_00029,"El camarero fue muy borde y desagradable. Precios desorbitados para la calidad que ofrecen. En resumen, no creo que volvamos.",0,0,0,0,0,1,0,1
gr_00030,"Reservamos mesa para cuatro. Música de fondo perfecta. La relación calidad-precio es inmejorable. La comida estaba fría y sin sabor. En general, fue una velada con altibajos.",0,0,1,1,1,0,0,0
gr_00031,Fuimos a cenar el sábado por la noche. La música estaba altísima. Una experiencia decepcionante.,0,0,0,0,0,0,1,0
gr_00032,"Tengo sentimientos encontrados sobre este lugar. La paella estaba pasada. Precios desorbitados para la calidad que ofrecen. El camarero fue muy borde y desagradable. En resumen, no creo que volvamos.",0,0,0,0,1,1,0,1
gr_00033,"Un trato profesional y cercano. Un ambiente muy acogedor y tranquilo. La comida estaba deliciosa. Precios justos. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00034,"Reservamos mesa para cuatro. Decoración anticuada y fea. No vale lo que cuesta, ni de lejos. Una experiencia decepcionante.",0,0,0,0,0,0,1,1
gr_00035,"Fuimos a cenar el sábado por la noche. Música de fondo perfecta. No vale lo que cuesta, ni de lejos. En general, fue una velada con altibajos.",0,0,1,0,0,0,0,1
gr_00036,Nos pareció muy barato para lo bien que comimos. El local estaba sucio y descuidado. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,0,0,1,0
gr_00037,"Lo recomendaría, pero con reservas. El mejor plato que he probado en mucho tiempo. Fue una velada agradable.",1,0,0,0,0,0,0,0
gr_00038,"Era nuestra primera vez en este sitio. El personal conocía bien la carta y nos aconsejó genial. Las mesas estaban demasiado juntas, sin privacidad. Una calidad pésima, no lo recomiendo. En general, fue una velada con altibajos.",0,1,0,0,1,0,1,0
gr_00039,Tengo sentimientos encontrados sobre este lugar. El local tiene una decoración preciosa. La presentación de los platos era impecable. Fue una velada agradable.,1,0,1,0,0,0,0,0
gr_00040,Era nuestra primera vez en este sitio. El local tiene una decoración preciosa. Fue una velada agradable.,0,0,1,0,0,0,0,0
gr_00041,"Lo recomendaría, pero con reservas. El local estaba sucio y descuidado. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,0
gr_00042,"Una calidad pésima, no lo recomiendo. Una experiencia decepcionante.",0,0,0,0,1,0,0,0
gr_00043,"Reservamos mesa para cuatro. Las mesas estaban demasiado juntas, sin privacidad. El camarero fue muy borde y desagradable. Una experiencia decepcionante.",0,0,0,0,0,1,1,0
gr_00044,"Reservamos mesa para cuatro. Música de fondo perfecta. Los sabores eran increíbles. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,1,0,0,0,0,0
gr_00045,Todo estaba en su punto. El personal conocía bien la carta y nos aconsejó genial. Fue una velada agradable.,1,1,0,0,0,0,0,0
gr_00046,"Ingredientes frescos y de calidad. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,0,0,0,0,0
gr_00047,"Tengo sentimientos encontrados sobre este lugar. Un trato profesional y cercano. Todo estaba en su punto. Una estafa, hay sitios mucho mejores y más baratos. En general, fue una velada con altibajos.",1,1,0,0,0,0,0,1
gr_00048,"Era nuestra primera vez en este sitio. Precios justos. El personal conocía bien la carta y nos aconsejó genial. Las mesas estaban demasiado juntas, sin privacidad. En general, fue una velada con altibajos.",0,1,0,1,0,0,1,0
gr_00049,"Los sabores eran increíbles. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,0,0,0,0,0
gr_00050,"Demasiado aceite en todo. Servicio lento y desorganizado. Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,1,1,1,0
gr_00051,Tengo sentimientos encontrados sobre este lugar. Salimos muy contentos con la cuenta. Los platos no tenían nada que ver con la descripción. Tuvimos que pedir la cuenta tres veces. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,1,1,0,0
gr_00052,Tengo sentimientos encontrados sobre este lugar. Nos pareció muy barato para lo bien que comimos. Un trato profesional y cercano. Fue una velada agradable.,0,1,0,1,0,0,0,0
gr_00053,Nos pareció muy barato para lo bien que comimos. Tardaron una eternidad en atendernos. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,0,1,0,0
gr_00054,Salimos muy contentos con la cuenta. Fue una velada agradable.,0,0,0,1,0,0,0,0
gr_00055,Fuimos a cenar el sábado por la noche. Los sabores eran increíbles. Fue una velada agradable.,1,0,0,0,0,0,0,0
gr_00056,"Reservamos mesa para cuatro. Un trato profesional y cercano. Tardaron una eternidad en atendernos. En general, fue una velada con altibajos.",0,1,0,0,0,1,0,0
gr_00057,"Una calidad pésima, no lo recomiendo. En resumen, no creo que volvamos.",0,0,0,0,1,0,0,0
gr_00058,Nos pareció muy barato para lo bien que comimos. Fue una velada agradable.,0,0,0,1,0,0,0,0
gr_00059,Tengo sentimientos encontrados sobre este lugar. La paella estaba pasada. Decoración anticuada y fea. Una experiencia decepcionante.,0,0,0,0,1,0,1,0
gr_00060,"Fuimos a cenar el sábado por la noche. La comida estaba fría y sin sabor. Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,1,0,1,0
gr_00061,"Tengo sentimientos encontrados sobre este lugar. Tuvimos que pedir la cuenta tres veces. Una estafa, hay sitios mucho mejores y más baratos. Los platos no tenían nada que ver con la descripción. Una experiencia decepcionante.",0,0,0,0,1,1,0,1
gr_00062,Reservamos mesa para cuatro. Precios justos. Tardaron una eternidad en atendernos. Nos cobraron cosas que no pedimos. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,0,1,0,1
gr_00063,"Fuimos a cenar el sábado por la noche. Decoración anticuada y fea. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,0
gr_00064,"Fuimos a cenar el sábado por la noche. Servicio lento y desorganizado. Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,0,1,1,0
gr_00065,"Lo recomendaría, pero con reservas. Sitio ideal para una cena romántica. Fue una velada agradable.",0,0,1,0,0,0,0,0
gr_00066,"El local tiene una decoración preciosa. Los camareros fueron muy atentos y amables. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,0,0,0,0,0
gr_00067,"Un ambiente muy acogedor y tranquilo. Precios justos. Los camareros fueron muy atentos y amables. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00068,"Demasiado aceite en todo. En resumen, no creo que volvamos.",0,0,0,0,1,0,0,0
gr_00069,Ingredientes frescos y de calidad. Las vistas desde el restaurante son espectaculares. La música estaba altísima. Tengo sentimientos encontrados sobre este lugar.,1,0,1,0,0,0,1,0
gr_00070,"La presentación de los platos era impecable. El servicio fue excepcional. No vale lo que cuesta, ni de lejos. En general, fue una velada con altibajos.",1,1,0,0,0,0,0,1
gr_00071,"Tienen un menú del día con un precio fantástico. En resumen, nuestra experiencia fue muy satisfactoria.",0,0,0,1,0,0,0,0
gr_00072,"Un ambiente muy acogedor y tranquilo. Nos pareció muy barato para lo bien que comimos. Una calidad pésima, no lo recomiendo. Había un ruido insoportable, no se podía hablar. En general, fue una velada con altibajos.",0,0,1,1,1,0,1,0
gr_00073,"Lo recomendaría, pero con reservas. Nos pareció muy barato para lo bien que comimos. Nos atendieron muy rápido. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,0,1,0,0,0,0
gr_00074,"El mejor plato que he probado en mucho tiempo. El camarero fue muy borde y desagradable. Había un ruido insoportable, no se podía hablar. En general, fue una velada con altibajos.",1,0,0,0,0,1,1,0
gr_00075,"Lo recomendaría, pero con reservas. Música de fondo perfecta. Tienen un menú del día con un precio fantástico. Fue una velada agradable.",0,0,1,1,0,0,0,0
gr_00076,"Reservamos mesa para cuatro. Todo estaba en su punto. Precios justos. Tuvimos que pedir la cuenta tres veces. Había un ruido insoportable, no se podía hablar. En general, fue una velada con altibajos.",1,0,0,1,0,1,1,0
gr_00077,"Lo recomendaría, pero con reservas.. Lo recomendaría, pero con reservas.",0,0,0,0,0,0,0,0
gr_00078,"Lo recomendaría, pero con reservas.. Era nuestra primera vez en este sitio.",0,0,0,0,0,0,0,0
gr_00079,"Lo recomendaría, pero con reservas. El mejor plato que he probado en mucho tiempo. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,0,0,0,0,0
gr_00080,"Una calidad pésima, no lo recomiendo. Se equivocaron varias veces con la comanda. En resumen, no creo que volvamos.",0,0,0,0,1,1,0,0
gr_00081,Reservamos mesa para cuatro. Tienen un menú del día con un precio fantástico. Los platos no tenían nada que ver con la descripción. Nos cobraron cosas que no pedimos. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,1,0,0,1
gr_00082,"Reservamos mesa para cuatro. El mejor plato que he probado en mucho tiempo. Tienen un menú del día con un precio fantástico. Tardaron una eternidad en atendernos. Decoración anticuada y fea. En general, fue una velada con altibajos.",1,0,0,1,0,1,1,0
gr_00083,Un ambiente muy acogedor y tranquilo. Un trato profesional y cercano. Tienen un menú del día con un precio fantástico. Fue una velada agradable.,0,1,1,1,0,0,0,0
gr_00084,Reservamos mesa para cuatro. Música de fondo perfecta. Tienen un menú del día con un precio fantástico. Decoración anticuada y fea. La paella estaba pasada. Tengo sentimientos encontrados sobre este lugar.,0,0,1,1,1,0,1,0
gr_00085,"No vale lo que cuesta, ni de lejos. Tuvimos que pedir la cuenta tres veces. En resumen, no creo que volvamos.",0,0,0,0,0,1,0,1
gr_00086,Era nuestra primera vez en este sitio. La relación calidad-precio es inmejorable. Los camareros fueron muy atentos y amables. La presentación de los platos era impecable. Fue una velada agradable.,1,1,0,1,0,0,0,0
gr_00087,"Era nuestra primera vez en este sitio. Tardaron una eternidad en atendernos. Nos cobraron cosas que no pedimos. En resumen, no creo que volvamos.",0,0,0,0,0,1,0,1
gr_00088,"Era nuestra primera vez en este sitio. Una estafa, hay sitios mucho mejores y más baratos. Tardaron una eternidad en atendernos. El local estaba sucio y descuidado. En resumen, no creo que volvamos.",0,0,0,0,0,1,1,1
gr_00089,Fuimos a cenar el sábado por la noche. Los sabores eran increíbles. Fue una velada agradable.,1,0,0,0,0,0,0,0
gr_00090,Las vistas desde el restaurante son espectaculares. Fue una velada agradable.,0,0,1,0,0,0,0,0
gr_00091,"Tengo sentimientos encontrados sobre este lugar. Tardaron una eternidad en atendernos. Demasiado aceite en todo. En resumen, no creo que volvamos.",0,0,0,0,1,1,0,0
gr_00092,"Lo recomendaría, pero con reservas. Un trato profesional y cercano. Precios justos. Fue una velada agradable.",0,1,0,1,0,0,0,0
gr_00093,Música de fondo perfecta. Nos pareció muy barato para lo bien que comimos. Un trato profesional y cercano. Ingredientes frescos y de calidad. Fue una velada agradable.,1,1,1,1,0,0,0,0
gr_00094,"Era nuestra primera vez en este sitio. Decoración anticuada y fea. La paella estaba pasada. Tardaron una eternidad en atendernos. Una estafa, hay sitios mucho mejores y más baratos. En resumen, no creo que volvamos.",0,0,0,0,1,1,1,1
gr_00095,"Fuimos a cenar el sábado por la noche. Tardaron una eternidad en atendernos. La música estaba altísima. En resumen, no creo que volvamos.",0,0,0,0,0,1,1,0
gr_00096,"Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,0,0,1,0
gr_00097,"Lo recomendaría, pero con reservas. Un ambiente muy acogedor y tranquilo. Precios justos. Fue una velada agradable.",0,0,1,1,0,0,0,0
gr_00098,"El servicio fue excepcional. Ingredientes frescos y de calidad. Fue carísimo, un auténtico robo. Tengo sentimientos encontrados sobre este lugar.",1,1,0,0,0,0,0,1
gr_00099,El local tiene una decoración preciosa. Nos pareció muy barato para lo bien que comimos. Un trato profesional y cercano. Fue una velada agradable.,0,1,1,1,0,0,0,0
gr_00100,La relación calidad-precio es inmejorable. El local estaba sucio y descuidado. Tengo sentimientos encontrados sobre este lugar.,0,0,0,1,0,0,1,0
gr_00101,"Ingredientes frescos y de calidad. Salimos muy contentos con la cuenta. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,1,0,0,0,0
gr_00102,"Una estafa, hay sitios mucho mejores y más baratos. Las mesas estaban demasiado juntas, sin privacidad. Una calidad pésima, no lo recomiendo. Una experiencia decepcionante.",0,0,0,0,1,0,1,1
gr_00103,"Lo recomendaría, pero con reservas. Las vistas desde el restaurante son espectaculares. El mejor plato que he probado en mucho tiempo. Los camareros fueron muy atentos y amables. La relación calidad-precio es inmejorable. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00104,"Tengo sentimientos encontrados sobre este lugar. El servicio fue excepcional. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,0,0,0,0,0,0
gr_00105,"Reservamos mesa para cuatro. Se equivocaron varias veces con la comanda. No vale lo que cuesta, ni de lejos. El pollo estaba crudo. En resumen, no creo que volvamos.",0,0,0,0,1,1,0,1
gr_00106,El servicio fue excepcional. Fue una velada agradable.,0,1,0,0,0,0,0,0
gr_00107,"Lo recomendaría, pero con reservas. Ingredientes frescos y de calidad. Música de fondo perfecta. Tienen un menú del día con un precio fantástico. Fue una velada agradable.",1,0,1,1,0,0,0,0
gr_00108,"Lo recomendaría, pero con reservas. Las mesas estaban demasiado juntas, sin privacidad. Servicio lento y desorganizado. La paella estaba pasada. Fue carísimo, un auténtico robo. Una experiencia decepcionante.",0,0,0,0,1,1,1,1
gr_00109,"Lo recomendaría, pero con reservas. Sitio ideal para una cena romántica. Fue una velada agradable.",0,0,1,0,0,0,0,0
gr_00110,"Un trato profesional y cercano. Precios justos. Las vistas desde el restaurante son espectaculares. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00111,"Lo recomendaría, pero con reservas. Un ambiente muy acogedor y tranquilo. Fue una velada agradable.",0,0,1,0,0,0,0,0
gr_00112,"Tengo sentimientos encontrados sobre este lugar. Precios justos. En resumen, nuestra experiencia fue muy satisfactoria.",0,0,0,1,0,0,0,0
gr_00113,"Lo recomendaría, pero con reservas. Las mesas estaban demasiado juntas, sin privacidad. Precios desorbitados para la calidad que ofrecen. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,1
gr_00114,Tengo sentimientos encontrados sobre este lugar.. Era nuestra primera vez en este sitio.,0,0,0,0,0,0,0,0
gr_00115,Los camareros fueron muy atentos y amables. La comida estaba deliciosa. Fue una velada agradable.,1,1,0,0,0,0,0,0
gr_00116,Tengo sentimientos encontrados sobre este lugar. El personal conocía bien la carta y nos aconsejó genial. Fue una velada agradable.,0,1,0,0,0,0,0,0
gr_00117,"Era nuestra primera vez en este sitio. La música estaba altísima. La paella estaba pasada. En resumen, no creo que volvamos.",0,0,0,0,1,0,1,0
gr_00118,"Fuimos a cenar el sábado por la noche. Nos pareció muy barato para lo bien que comimos. En resumen, nuestra experiencia fue muy satisfactoria.",0,0,0,1,0,0,0,0
gr_00119,Precios desorbitados para la calidad que ofrecen. Una experiencia decepcionante.,0,0,0,0,0,0,0,1
gr_00120,"Los sabores eran increíbles. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,0,0,0,0,0,0
gr_00121,"Era nuestra primera vez en este sitio. Las mesas estaban demasiado juntas, sin privacidad. Tuvimos que pedir la cuenta tres veces. Una experiencia decepcionante.",0,0,0,0,0,1,1,0
gr_00122,La relación calidad-precio es inmejorable. Fue una velada agradable.,0,0,0,1,0,0,0,0
gr_00123,Fuimos a cenar el sábado por la noche.. Fuimos a cenar el sábado por la noche.,0,0,0,0,0,0,0,0
gr_00124,"El servicio fue excepcional. Salimos muy contentos con la cuenta. Las vistas desde el restaurante son espectaculares. Los sabores eran increíbles. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00125,"Lo recomendaría, pero con reservas. La comida estaba deliciosa. Nos atendieron muy rápido. Tienen un menú del día con un precio fantástico. Fue una velada agradable.",1,1,0,1,0,0,0,0
gr_00126,"Tengo sentimientos encontrados sobre este lugar. Un trato profesional y cercano. El local tiene una decoración preciosa. Nos pareció muy barato para lo bien que comimos. Ingredientes frescos y de calidad. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00127,"El mejor plato que he probado en mucho tiempo. Música de fondo perfecta. Nos pareció muy barato para lo bien que comimos. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,1,1,0,0,0,0
gr_00128,"Lo recomendaría, pero con reservas. Ingredientes frescos y de calidad. Tienen un menú del día con un precio fantástico. Fue una velada agradable.",1,0,0,1,0,0,0,0
gr_00129,"Precios justos. El mejor plato que he probado en mucho tiempo. Una estafa, hay sitios mucho mejores y más baratos. Tengo sentimientos encontrados sobre este lugar.",1,0,0,1,0,0,0,1
gr_00130,Tengo sentimientos encontrados sobre este lugar. La comida estaba deliciosa. El servicio fue excepcional. Fue una velada agradable.,1,1,0,0,0,0,0,0
gr_00131,"Demasiado aceite en todo. El camarero fue muy borde y desagradable. Fue carísimo, un auténtico robo. Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,1,1,1,1
gr_00132,Tengo sentimientos encontrados sobre este lugar. Servicio lento y desorganizado. Una experiencia decepcionante.,0,0,0,0,0,1,0,0
gr_00133,Era nuestra primera vez en este sitio. La relación calidad-precio es inmejorable. Nos atendieron muy rápido. El local tiene una decoración preciosa. La presentación de los platos era impecable. Fue una velada agradable.,1,1,1,1,0,0,0,0
gr_00134,"Las mesas estaban demasiado juntas, sin privacidad. Una experiencia decepcionante.",0,0,0,0,0,0,1,0
gr_00135,"Tengo sentimientos encontrados sobre este lugar. No vale lo que cuesta, ni de lejos. Una experiencia decepcionante.",0,0,0,0,0,0,0,1
gr_00136,Era nuestra primera vez en este sitio. La música estaba altísima. El pollo estaba crudo. Una experiencia decepcionante.,0,0,0,0,1,0,1,0
gr_00137,Tengo sentimientos encontrados sobre este lugar. La comida estaba deliciosa. Fue una velada agradable.,1,0,0,0,0,0,0,0
gr_00138,"Reservamos mesa para cuatro. El camarero fue muy borde y desagradable. El local estaba sucio y descuidado. Una estafa, hay sitios mucho mejores y más baratos. En resumen, no creo que volvamos.",0,0,0,0,0,1,1,1
gr_00139,Nos pareció muy barato para lo bien que comimos. Sitio ideal para una cena romántica. Los camareros fueron muy atentos y amables. Fue una velada agradable.,0,1,1,1,0,0,0,0
gr_00140,Fuimos a cenar el sábado por la noche. Nos pareció muy barato para lo bien que comimos. Los camareros fueron muy atentos y amables. Sitio ideal para una cena romántica. Los sabores eran increíbles. Fue una velada agradable.,1,1,1,1,0,0,0,0
gr_00141,"Tengo sentimientos encontrados sobre este lugar. El pollo estaba crudo. Se equivocaron varias veces con la comanda. En resumen, no creo que volvamos.",0,0,0,0,1,1,0,0
gr_00142,"Salimos muy contentos con la cuenta. El personal conocía bien la carta y nos aconsejó genial. El mejor plato que he probado en mucho tiempo. Un ambiente muy acogedor y tranquilo. En resumen, nuestra experiencia fue muy satisfactoria.",1,1,1,1,0,0,0,0
gr_00143,Fuimos a cenar el sábado por la noche. Las vistas desde el restaurante son espectaculares. Todo estaba en su punto. Nos pareció muy barato para lo bien que comimos. Un trato profesional y cercano. Fue una velada agradable.,1,1,1,1,0,0,0,0
gr_00144,"Tengo sentimientos encontrados sobre este lugar. El local tiene una decoración preciosa. Los sabores eran increíbles. Las mesas estaban demasiado juntas, sin privacidad. En general, fue una velada con altibajos.",1,0,1,0,0,0,1,0
gr_00145,Un trato profesional y cercano. El local tiene una decoración preciosa. Tuvimos que pedir la cuenta tres veces. Tengo sentimientos encontrados sobre este lugar.,0,1,1,0,0,1,0,0
gr_00146,"Las vistas desde el restaurante son espectaculares. Ingredientes frescos y de calidad. En resumen, nuestra experiencia fue muy satisfactoria.",1,0,1,0,0,0,0,0
gr_00147,Era nuestra primera vez en este sitio.. Fuimos a cenar el sábado por la noche.,0,0,0,0,0,0,0,0
gr_00148,"Era nuestra primera vez en este sitio. El personal conocía bien la carta y nos aconsejó genial. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,0,0,0,0,0,0
gr_00149,Fuimos a cenar el sábado por la noche. Un trato profesional y cercano. Un ambiente muy acogedor y tranquilo. Fue una velada agradable.,0,1,1,0,0,0,0,0
gr_00150,"Tengo sentimientos encontrados sobre este lugar. Nos atendieron muy rápido. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,0,0,0,0,0,0
gr_00151,"Tengo sentimientos encontrados sobre este lugar.. Lo recomendaría, pero con reservas.",0,0,0,0,0,0,0,0
gr_00152,"Lo recomendaría, pero con reservas. Nos atendieron muy rápido. Precios justos. El local tiene una decoración preciosa. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00153,"Reservamos mesa para cuatro. El servicio fue excepcional. Salimos muy contentos con la cuenta. Fue carísimo, un auténtico robo. Servicio lento y desorganizado. Tengo sentimientos encontrados sobre este lugar.",0,1,0,1,0,1,0,1
gr_00154,Un ambiente muy acogedor y tranquilo. Un trato profesional y cercano. Fue una velada agradable.,0,1,1,0,0,0,0,0
gr_00155,Reservamos mesa para cuatro. Precios desorbitados para la calidad que ofrecen. Tuvimos que pedir la cuenta tres veces. La paella estaba pasada. El local estaba sucio y descuidado. Una experiencia decepcionante.,0,0,0,0,1,1,1,1
gr_00156,"Era nuestra primera vez en este sitio. Sitio ideal para una cena romántica. Los camareros fueron muy atentos y amables. Salimos muy contentos con la cuenta. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00157,"Había un ruido insoportable, no se podía hablar. En resumen, no creo que volvamos.",0,0,0,0,0,0,1,0
gr_00158,Todo estaba en su punto. Un trato profesional y cercano. Fue una velada agradable.,1,1,0,0,0,0,0,0
gr_00159,"Era nuestra primera vez en este sitio. El camarero fue muy borde y desagradable. La paella estaba pasada. Las mesas estaban demasiado juntas, sin privacidad. Fue carísimo, un auténtico robo. Una experiencia decepcionante.",0,0,0,0,1,1,1,1
gr_00160,"Un ambiente muy acogedor y tranquilo. El camarero fue muy borde y desagradable. En general, fue una velada con altibajos.",0,0,1,0,0,1,0,0
gr_00161,"Sitio ideal para una cena romántica. El servicio fue excepcional. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,0,0,0,0,0
gr_00162,"Lo recomendaría, pero con reservas.. Tengo sentimientos encontrados sobre este lugar.",0,0,0,0,0,0,0,0
gr_00163,Tengo sentimientos encontrados sobre este lugar. Todo estaba en su punto. La relación calidad-precio es inmejorable. Fue una velada agradable.,1,0,0,1,0,0,0,0
gr_00164,"Tienen un menú del día con un precio fantástico. El pollo estaba crudo. En general, fue una velada con altibajos.",0,0,0,1,1,0,0,0
gr_00165,"Música de fondo perfecta. Nos pareció muy barato para lo bien que comimos. El personal conocía bien la carta y nos aconsejó genial. En resumen, nuestra experiencia fue muy satisfactoria.",0,1,1,1,0,0,0,0
gr_00166,"Tengo sentimientos encontrados sobre este lugar. El camarero fue muy borde y desagradable. En resumen, no creo que volvamos.",0,0,0,0,0,1,0,0
